time/time_elapsed,time/iterations,time/fps,time/total_timesteps,reward,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/n_updates,train/approx_kl
635,25,47,30000,7516.65300052174,0.001,-0.0020961525259485915,0.007083333175008495,-0.09214067459106445,44897.484375,0.2,-1.392977770169576,0.9803151488304138,369812.8615275065,240,0.0027683394
660,26,47,31200,8039.155118592293,0.001,-0.004134588238535593,0.04024999891407788,0.2530355453491211,6100.6240234375,0.2,-1.3805197874704997,0.9495125412940979,15269.184383138021,250,0.00880615
686,27,47,32400,492.4218969098815,0.001,-0.0045639745770895395,0.04224999888489644,0.2870538830757141,9669.93359375,0.2,-1.3562680701414744,0.933086097240448,14883.329502360026,260,0.0064583183
712,28,47,33600,608.4810818492791,0.001,-0.0013857450090269286,0.009083333130305012,-0.025347232818603516,187604.015625,0.2,-1.369858633975188,0.9681427478790283,598470.3415852864,270,0.0016189489
738,29,47,34800,383.41906216334513,0.001,-0.00023294916173123662,0.0,0.024528801441192627,13531.0380859375,0.2,-1.3832298045357068,0.9648314118385315,365731.1555135091,280,8.406767e-05
764,30,47,36000,238.58968192832904,0.001,0.006253326743770989,0.09674999717002114,0.01776754856109619,230676.015625,0.2,-1.414326512813568,1.035866141319275,342391.6169881185,290,0.0067243003
791,31,47,37200,482.93305418753823,0.001,0.0037529039573855672,0.23274999346273642,-0.00016391277313232422,56186.265625,0.2,-1.4720753540595373,1.0528651475906372,357513.94405517576,300,0.008676656
819,32,46,38400,1121.7735935259866,0.001,-0.0004382810218353776,0.0,-0.0015093088150024414,522785.09375,0.2,-1.4707461237907409,1.0537889003753662,659066.8888997396,310,0.00012417494
846,33,46,39600,1447.0457052474783,0.001,6.590070230678702e-05,0.0054166665145506466,0.006585121154785156,793094.375,0.2,-1.4684012666344644,1.0483663082122803,1001674.588659668,320,0.003878452
874,34,46,40800,1399.2023536427841,0.001,-0.0028485479425092606,0.0019166666238258283,-0.006857156753540039,421544.75,0.2,-1.4628591174880663,1.0423904657363892,299569.13404134114,330,0.0017156029
900,35,46,42000,1396.235880042853,0.001,-0.0008207866743675055,0.0,0.0005649328231811523,472553.9375,0.2,-1.4598084007700285,1.0414968729019165,1051081.592903646,340,0.00025014835
926,36,46,43200,1810.7101153802603,0.001,-3.871550163170312e-06,0.0,0.2632032632827759,64971.51953125,0.2,-1.4595710520943006,1.0414268970489502,438650.53434244794,350,2.4189552e-08
950,37,46,44400,2364.8627779973563,0.001,-1.485526525808097e-05,0.0,0.3389093279838562,278125.9375,0.2,-1.4595460866888363,1.0414690971374512,352988.7607503255,360,2.7015804e-07
977,38,46,45600,2502.790446310678,0.001,-7.411952221496599e-05,0.0,0.7190917730331421,15958.736328125,0.2,-1.4594971741239229,1.0413068532943726,43149.56894938151,370,3.090004e-06
1003,39,46,46800,2391.085232047358,0.001,-6.394863470967256e-05,0.0,0.20829099416732788,436451.21875,0.2,-1.4593970601757367,1.0412790775299072,730909.3086914063,380,7.940332e-07
1027,40,46,48000,2491.2956186621286,0.001,-0.00013567855621009114,0.0,0.19257259368896484,278112.5,0.2,-1.4593257774909338,1.0411396026611328,441903.8599121094,390,4.380842e-06
1053,41,46,49200,3016.6578530636025,0.001,-6.126370149233118e-05,0.0,0.6257894933223724,20517.505859375,0.2,-1.4592199265956878,1.0410747528076172,38124.376013183595,400,2.1008648e-06
1079,42,46,50400,3495.686373893792,0.001,-4.193536348514234e-05,0.0,0.2896599769592285,15693.392578125,0.2,-1.4592205544312795,1.0411279201507568,202425.86224772135,410,2.1574895e-06
