time/total_timesteps,reward,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/std,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl
31200,1971.603148506952,653,47,26,250,125525.14527994792,0.9322664141654968,0.001,4828.67236328125,-0.0028569657878288134,0.0264999992835025,-0.0014541149139404297,0.2,-1.3530058279633521,0.00489955
32400,1581.0277051370497,678,47,27,260,199737.32049560547,0.927463173866272,0.001,6004.7529296875,-0.003944696177275394,0.021916666145746905,0.02720409631729126,0.2,-1.3442619055509568,0.004467007
33600,1766.838338466145,703,47,28,270,135935.61953938802,0.9227113723754883,0.001,217248.296875,-0.0007293887953427077,0.02449999937477211,0.0048029422760009766,0.2,-1.3448083251714706,0.0034720215
34800,2512.1340224537353,730,47,29,280,157333.49322916666,0.8920741081237793,0.001,187769.515625,-0.004147492164925248,0.028999999227623145,0.008445978164672852,0.2,-1.3211641972263655,0.004520052
36000,3071.944715411889,755,47,30,290,449387.84767659503,0.8822568655014038,0.001,261154.234375,-0.0013534894949790062,0.006083333197360237,0.011920273303985596,0.2,-1.2987000281612078,0.0026105985
37200,3481.907247108044,779,47,31,300,140274.03870442708,0.887250542640686,0.001,4928.02197265625,-0.0028723315496837674,0.030833332535500326,0.14623510837554932,0.2,-1.2963817993799844,0.0059986073
38400,4161.424836705831,803,47,32,310,13511.357741292317,0.8965354561805725,0.001,6498.7216796875,-0.001332812619221683,0.0051666665511826675,0.24847400188446045,0.2,-1.3058921327193578,0.00096622686
39600,4563.542447952305,827,47,33,320,11770.773081461588,0.8813574910163879,0.001,5437.9404296875,-0.0018745524117431338,0.013416666366780797,0.22285425662994385,0.2,-1.2973695740103721,0.0022948387
40800,4678.681604062569,852,47,34,330,11405.441837565104,0.8535489439964294,0.001,4680.65576171875,-0.0018475444640795684,0.0054999998770654205,0.30832725763320923,0.2,-1.2761712461709975,0.0026720539
42000,4343.060047785071,877,47,35,340,13907.947973632812,0.8645256161689758,0.001,6764.8095703125,-0.0014483914315505885,0.0051666665511826675,0.23967617750167847,0.2,-1.2672293355067572,0.0018089338
